flair,/fler/,instinto
mare,/mer/,yegua
prey,/preɪ/,presa
inn,/ɪn/,posada
wound,/wuːnd/,herida
cellar,/ˈsel.ɚr/,bodega
chase,/tʃeɪs/,persecución
vagrant,/ˈveɪ.ɡrənt/,vagabundo
shiver,/ˈʃɪv.ɚr/,escalofrío
grief,/ɡriːf/,dolor
escort,esˈkɔːrt,escolta
hue,/hjuː/,matíz
desire,/dɪˈzaɪr/,deseo
boyhood,/ˈbɔɪ.hʊd/,niñez
bog,/boːɡ/,pantano
hut,/hʌt/,choza
foal,/foʊl/,potro
pond,/pɑːnd/,estanque
bribe,/braɪb/,soborno
scrap,/skræp/,chatarra
rubbish,/ˈrʌb.ɪʃ/,basura
sod,/sɑːd/,césped
shrine,/ʃrɑɪn/,santuario
wart,/wɔrt/,verruga
mange,/meɪndʒ/,sarna
fang,/fæŋ/,colmillo
rib,/rɪb/,costilla
mud,/mʌd/,barro
gut,/ɡʌt/,intestino
sprain,/spreɪn/,esguince
rash,/ræʃ/,sarpullido
hike,/haɪk/,caminata
headache,/ˈhed.eɪk/,dolor de cabeza
stanza,/ˈstæn.zə/,estrofa
snore,/snɔːr/,ronquido
slumber,/ˈslʌm.bɚ/,sueño
relief,/rɪˈliːf/,alivio
chin,/tʃɪn/,"mentón,barbilla"
lap,/læp/,regazo
witness,/ˈwɪt.nəs/,testigo
sink,/sɪŋk/,"lavamanos,lavabo"
trickle,/ˈtrɪk.əl/,chorrito
cocoon,/kəˈkuːn/,capullo
velvet,/ˈvel.vɪt/,terciopelo
splotch,/splɑːtʃ/,mancha
embrace,/ɪmˈbreɪs/,abrazo
gnat,/næt/,mosquito
groan,/ɡroʊn/,gemido
haunt,/hɑːnt/,guarida
moan,/mon/,gemido
shudder,/ˈʃʌd.ɚ/,estremecimiento
stab,/stæb/,puñalada
mist,/mɪst/,niebla
gut,/ɡʌt/,intestino
flicker,/ˈflɪk.ɚ/,parpadeo
ivy,/ˈaɪ.vi/,hiedra
jaw,/dʒɑː/,mandíbula
giggle,/ˈɡɪɡ.əl/,risa pequeña
grunt,/ɡrʌnt/,gruñido
creak,/kriːk/,crujido
scratch,/skrætʃ/,rasguño
gaze,/ɡeɪz/,mirada
grin,/ɡrɪn/,mueca
flurry,/ˈflɝː.i/,ráfaga
eagerness,/ˈiː.ɡɚ/,afán
sigh,/saɪ/,suspiro
yell,/jel/,grito
kidnapper,/ˈkɪd.næp.ɚ/,secuestrador
wink,/wɪŋk/,guiño
odds,/ɑːdz/,posibilidades
leap,/liːp/,salto
shrug,/ʃrʌɡ/,encogimiento de hombros
wound,/wuːnd/,herida
napkin,/ˈnæp.kɪn/,servilleta
complaint,/kəmˈpleɪnt/,queja
liability,/ˌlaɪ.əˈbɪl.ə.t̬i/,responsibilidad
stealth,/stelθ/,sigilo
alley,/ˈæl.i/,callejón
stove,/stoʊv/,estufa
dessert,/dɪˈzɝːt/,postre
crowd,/kraʊd/,público
hilt,/hɪlt/,empuñadura
shrieking,/ʃriːk/,chillidos
hound,/haʊnd/,sabueso
fang,/fæŋ/,colmillo
shoulder,/ˈʃoʊl.dɚ/,hombro
sob,/sɑːb/,sollozo
grip,/ɡrɪp/,apretón
cottage,/ˈkɑː.t̬ɪdʒ/,cabaña
snout,/snaʊt/,hocico
wrath,/rɑːθ/,ira
shriek,/ʃriːk/,grito
snarl,/snɑːrl/,gruñido
realm,/relm/,reino
growl,/ɡraʊl/,gruñido
treaty,/ˈtriː.t̬i/,tratado
gore,/ɡɔːr/,sangre
fate,/feɪt/,destino
corpse,/kɔːrps/,cadaver
loophole,/ˈluːp.hoʊl/,escapatoria
belly,/ˈbel.i/,vientre
brow,/braʊ/,ceja
bother,/ˈbɑː.ðɚ/,molestia
slit,/slɪt/,abertura
venison,/ˈven.ə.sən/,venado
snare,/sner/,trampa
bruise,/bruːz/,moretón
poverty,/ˈpɑː.vɚ.t̬i/,pobreza
uprising,/ˈʌpˌraɪ.zɪŋ/,levantamiento
dwelling,/ˈdwel.ɪŋ/,vivienda
saddle,/ˈsæd.əl/,silla de montar
rift,/rɪft/,grieta
sake,/seɪk/,motivo
tang,/tæŋ/,sabor
jolt,/dʒoʊlt/,sacudida
limb,/lɪm/,miembro
sentry,/ˈsen.tri/,centinela
estate,/ɪˈsteɪt/,inmueble
wisdom,/ˈwɪz.dəm/,sabiduría
trouble,/ˈtrʌb.əl/,problema
sting,/stɪŋ/,picadura
dirt,/dɝːt/,suciedad
stain,/steɪn/,mancha
scar,/skɑːr/,cicatriz
retching,/retʃ/,nausea
marble,/ˈmɑːr.bəl/,marmol
silverware,/-vɚ.wer/,cubiertos
whorl,/wɝːl/,espiral
tale,/teɪl/,cuento
cliff,/klɪf/,acantilado
folk,/foʊk/,gente
crib,/krɪb/,cuna
ruling,/ˈruː.lɪŋ/,decisión
shore,/ʃɔːr/,orilla
allegiance,/əˈliː.dʒəns/,lealtad
whore,/hɔːr/,prostituta
mob,/mɑːb/,multitud
bound,/baʊnd/,limite
errand,/ˈer.ənd/,recado
hassle,/ˈhæs.əl/,molestia
praise,/preɪz/,alabanza
wheat,/wiːt/,trigo
harm,/hɑːrm/,daño
sewer,/ˈsuː.ɚ/,alcantarilla
visage,/ˈvɪz.ɪdʒ/,rostro
grievance,/ˈɡriː.vəns/,queja
harm,/hɑːrm/,daño
recruit,/rɪˈkruːt/,recluta
lure,/lʊr/,señuelo
stench,/stentʃ/,hedor
heap,/hiːp/,montón
wrath,/rɑːθ/,ira
lice,/laɪs/,piojos
swine,/swaɪn/,puerco
gristle,/ˈɡrɪs.əl/,cartílago
barn,/bɑːrn/,granero
seal,/siːl/,sello
gloom,/ɡluːm/,penumbra
swamp,/swɑːmp/,pantano
chaff,/tʃæf/,paja
shed,/ʃed/,cobertizo