time,/taɪm/,tiempo
year,/jɪr/,año
way,/weɪ/,manera
thing,/θɪŋ/,cosa
woman,/ˈwʊm.ən/,mujer
life,/laɪf/,vida
child,/tʃaɪld/,niño|chico
world,/wɝːld/,mundo
school,/skuːl/,escuela
state,/steɪt/,estado
family,/ˈfæm.əl.i/,familia
student,/ˈstuː.dənt/,estudiante
group,/ɡruːp/,grupo
country,/ˈkʌn·tri/,país
problem,/ˈprɑː.bləm/,problema
hand,/hænd/,mano
part,/pɑːrt/,parte
place,/pleɪs/,lugar
case,/keɪs/,caso
week,/wiːk/,semana
company,/ˈkʌm.pə.ni/,compañia
system,/ˈsɪs.təm/,sistema
program,/ˈproʊ.ɡræm/,programa
work,/wɝːk/,trabajo
government,/ˈɡʌv.ɚn.mənt/,gobierno
number,/ˈnʌm.bɚ/,número
night,/naɪt/,noche
point,/pɔɪnt/,punto
home,/hoʊm/,hogar
water,/ˈwɑː.t̬ɚ/,agua
room,/ruːm/,habitación|cuarto
mother,/ˈmʌð.ɚ/,madre
area,/ˈer.i.ə/,area
money,/ˈmʌn.i/,dinero
story,/ˈstɔːr.i/,historia
fact,/fækt/,hecho
month,/mʌnθ/,mes
lot,/lɑːt/,mucho
right,/raɪt/,derecha|derecho|verdad
study,/ˈstʌd.i/,estudio
book,/bʊk/,libro
eye,/aɪ/,ojo
job,/dʒɑːb/,empleo
word,/wɝːd/,palabra
business,/ˈbɪz.nɪs/,negocio
issue,/ˈɪʃ.uː/,problema
side,/saɪd/,lado
kind,/kaɪnd/,tipo
head,/hed/,cabeza
house,/haʊs/,casa
service,/ˈsɝː.vɪs/,servicio
friend,/frend/,amigo
father,/ˈfɑː.ðɚ/,padre
question,/ˈkwes.tʃən/,pregunta
power,/ˈpaʊ.ɚ/,poder
hour,/aʊr/,hora
line,/laɪn/,linia
game,/ɡeɪm/,juego
member,/ˈmem.bɚ/,miembro
law,/lɑː/,ley
car,/kɑːr/,carro|auto
city,/ˈsɪt̬.i/,ciudad
community,/kəˈmjuː.nə.t̬i/,comunidad
name,/neɪm/,nombre
president,/ˈprez.ɪ.dənt/,presidente
team,/tiːm/,equipo
minute,/ˈmɪn.ɪt/,minuto
idea,/aɪˈdiː.ə/,idea
kid,/kɪd/,chico
end,/end/,final
information,/ˌɪn.fɚˈmeɪ.ʃən/,información
back,/bæk/,espalda|atras
face,/feɪs/,cara
others,/ˈʌð·ərz/,otros
level,/ˈlev.əl/,nivel
office,/ˈɑː.fɪs/,oficina
door,/dɔːr/,puerta
body,/ˈbɑː.di/,cuerpo
person,/ˈpɝː.sən/,persona
art,/ɑːrt/,arte
war,/wɔːr/,guerra
day,/deɪ/,día
party,/ˈpɑːr.t̬i/,fiesta
health,/helθ/,salud
history,/ˈhɪs.t̬ɚ.i/,historia
change,/tʃeɪndʒ/,cambio
morning,/ˈmɔːr.nɪŋ/,mañana
reason,/ˈriː.zən/,razón
girl,/ɡɝːl/,niña
guy,/ɡaɪ/,chico|muchacho
moment,/ˈmoʊ.mənt/,momento
air,/er/,aire
teacher,/ˈtiː.tʃɚ/,profesor
force,/fɔːrs/,fuerza
education,/ˌedʒ.əˈkeɪ.ʃən/,educación
research,/ˈriː.sɝːtʃ/,investigación
parent,/ˈper.ənt/,pariente|padres
people,/ˈpiː.pəl/,persona
man,/mæn/,hombre
result,/rɪˈzʌlt/,resultado