accept,/əkˈsept/,aceptar
leave,/liːv/,salir/marcharse
ask,/æsk/,preguntar
listen,/ˈlɪs.ən/,escuchar
be,/biː/,ser/estar
live,/lɪv/,vivir
begin,/bɪˈɡɪn/,empezar
look,/lʊk/,mirar
become,/bɪˈkʌm/,hacerse
lose,/luːz/,perder
believe,/bɪˈliːv/,creer
make,/meɪk/,hacer
break,/breɪk/,romper
meet,/miːt/,conocer
bring,/brɪŋ/,traer
move,/muːv/,mover
build,/bɪld/,construir
need,/niːd/,necesitar
buy,/baɪ/,comprar
open,/ˈoʊ.pən/,abrir
call,/kɑːl/,llamar
pay,/peɪ/,pagar
play,/pleɪ/,poder
cancel,/ˈkæn.səl/,cancelar
put,/pʊt/,poner
carry,/ˈker.i/,llevar
read,/riːd/,leer
catch,/kætʃ/,atrapar/agarrar
reply,/rɪˈplaɪ/,responder
change,/tʃeɪndʒ/,cambiar
run,/rʌn/,correr
choose,/tʃuːz/,escoger
say,/seɪ/,decir
clean,/kliːn/,limpiar
see,/siː/,ver
close,/kloʊz/,cerrar
seem,/siːm/,parecer
come,/kʌm/,venir
sell,/sel/,vender
cut,/kʌt/,cortar
send,/send/,enviar
dance,/dæns/,bailar
set,/set/,poner
decide,/dɪˈsaɪd/,decidir
show,/ʃoʊ/,mostrar
do,/də/,hacer
sign,/saɪn/,firmar
draw,/drɑː/,dibujar
sit,/sɪt/,sentarse
drink,/drɪŋk/,beber
sleep,/sliːp/,dormir
drive,/draɪv/,conducir
speak,/spiːk/,hablar
eat,/iːt/,comer
spell,/spel/,deletrear
explain,/ɪkˈspleɪn/,explicar
spend,/spend/,gastar
fall,/fɑːl/,caerse
stand,/stænd/,ponerse de pie
feel,/fiːl/,sentir
start,/stɑːrt/,comenzar
fill,/fɪl/,llenar
stop,/stɑːp/,parar
find,/faɪnd/,encontrar
study,/ˈstʌd.i/,estudiar
finish,/ˈfɪn.ɪʃ/,terminar
take,/teɪk/,tomar
fit,/fɪt/,caber
talk,/tɑːk/,hablar
fix,/fɪks/,reparar
teach,/tiːtʃ/,enseñar
fly,/flaɪ/,volar
tell,/tel/,decir
forget,/fɚˈɡet/,olvidar
think,/θɪŋk/,pensar
get,/ɡet/,conseguir
try,/traɪ/,intentar
give,/ɡɪv/,dar
turn,/tɝːn/,doblar
go,/ɡoʊ/,ir
understand,/ˌʌn.dɚˈstænd/,entender
happen,/ˈhæp.ən/,pasar
use,/juːz/,utilizar/usar
have,/hæv/,tener
wait,/weɪt/,esperar
hear,/hɪr/,oír
walk,/wɑːk/,caminar
hit,/hɪt/,pegar/golpear
want,/wɑːnt/,querer/desear
hurt,/hɝːt/,dañar/herir
watch,/wɑːtʃ/,mirar
keep,/kiːp/,mantener
win,/wɪn/,ganar
know,/noʊ/,saber/conocer
work,/wɝːk/,trabajar
let,/let/,dejar
worry,/ˈwɝː.i/,preocuparse